1455DULLING     PALUSI      31301222333345.00
1456FELIKI      KALENO      31703222123446.45
1265GAGA        LADY        36301222123412.20
1437LANUMEAMATA SEFO        36202222333311.75
1435HALLO       LARRY       31301432987615.45
1453KUBAKA      SALIS       31703444999909.32
1252LUAFA       MICHAEL     36703555999930.32
1254LUPE        RICARDO     36703555888830.32
1253LEPOSO      ARMANDO     36301666999930.32
1447MAGRILI     DAVID       31703777999954.32
1255OONA        LEPEKA      36202222999928.32
1256SAMAYA      BELMA       36301111999938.32
1257SULI        VICTORIA    36703333999935.32
1258STRUT       MICHAEL     36301888999936.32
